Run ID,Player ID,Place,Speedrun Time,Verified,Examiner ID,Platform ID,Platform Name,Category ID,Category Name,Player Name,Player Country,Player Pronouns
y4o72j3z,810ng1qx,127,15.6,TRUE,pj0o1g4j,gde3xgek,iOS,zd3l938d,Coins,coppergolemgod,nl,Not Mentioned
zp99q5rm,8667p2p8,133,15.609,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,tronker,br,Not Mentioned
y880p65y,xz7qrenj,134,15.617,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,Jimagen,nl,She/Her
zgpod3vz,8dg5n698,135,15.625,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,Peddrokka,Not Mentioned,Not Mentioned
zn7v3pvm,xzlrner8,136,15.633,TRUE,1xyy9oyx,lq60nl94,Android,zd3l938d,Coins,paulao,br,He/Him
yjpx2ogy,jn2gq12j,136,15.633,TRUE,8e6rpq7j,lq60nl94,Android,zd3l938d,Coins,Miguelzito,br,Not Mentioned
mkke6elm,8l3656v8,136,15.633,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,Guiz_,br,Not Mentioned
m76dl4ey,8r3lwzg8,139,15.64,TRUE,1xyy9oyx,lq60nl94,Android,zd3l938d,Coins,MsxX,br,Not Mentioned
yvrlwqez,81kpv4pj,139,15.64,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,inksparez,br,Not Mentioned
y4q66ekm,xz1voknj,141,15.644,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,Pedrooh95,br,Not Mentioned
y86k05wm,j0wnog98,142,15.648,TRUE,48g7zm18,lq60nl94,Android,zd3l938d,Coins,Kinatit,by,He/Him
y2p28o7z,8r3qmm38,143,15.649,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,Ghx9,Not Mentioned,Not Mentioned
ywkgjp0y,x7mooo6x,144,15.655,TRUE,j2yo7mo8,lq60nl94,Android,zd3l938d,Coins,Futierz,ar,He/Him
m3304pdm,xymvdgmx,145,15.667,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,Alfredolol2,br,He/Him
z1p039gz,8661qn38,145,15.667,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,Rhyanduarte09,Not Mentioned,Not Mentioned
me3wp98z,xk3q2g68,147,15.672,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,vinizzinkkkj,Not Mentioned,He/Him
yopnxl7m,j0gmw64x,148,15.68,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,Ismvr,Not Mentioned,Not Mentioned
yvrkkloz,8gmlyrr8,148,15.68,TRUE,8l0qwkr8,lq60nl94,Android,zd3l938d,Coins,Heexz,Not Mentioned,Not Mentioned
zgqkrody,8qrpwmdj,150,15.683,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,supercrazestar,sg,He/Him
m33k2n6m,j23o64nx,151,15.69,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,PaPoKo,br,Not Mentioned
me4vp12y,8ged507j,152,15.7,TRUE,1xyy9oyx,gde3xgek,iOS,zd3l938d,Coins,GuiYazejy,pt,Not Mentioned
y2p71lwz,8eke4n68,152,15.7,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,SDK6,br,Not Mentioned
yvrl08oz,8dg5loo8,152,15.7,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,Im_4lon3,Not Mentioned,Not Mentioned
